#Drug	Gene	label
DB07525	P19404	0
DB04514	P34741	0
DB06096	Q9NNW7	0
DB03329	P62837	0
DB07072	Q00536	0
DB01213	P00325	1
DB03940	P07195	1
DB01037	P20813	1
DB00829	P48169	1
DB00997	P14550	1
DB00160	Q9UHI5	1
DB01346	Q96A70	0
DB00055	P05121	1
DB00312	O14764	1
DB00772	P21554	0
DB08092	P11678	0
DB00968	P34897	0
DB08403	Q14524	0
DB08294	Q9HCP0	0
DB08237	P0DMS8	0
DB08011	P04629	0
DB03695	P12724	0
DB07497	Q9UDW1	0
DB03925	P08246	1
DB05676	Q05940	0
DB00935	P25100	1
DB05335	P35354	1
DB00974	P05177	1
DB02651	P61586	0
DB01114	P35367	1
DB03218	P51149	0
DB03889	P31358	0
DB04233	P04118	1
DB08844	P06737	1
DB00197	P24462	1
DB00243	P23469	0
DB02260	Q9BY41	0
DB06216	P10635	1
DB07943	P30273	0
DB06774	P09172	1
DB00349	P14867	1
DB07888	P15144	0
DB00376	Q92847	0
DB04476	P31151	0
DB05141	O75891	0
DB01437	P14867	1
DB00234	P10635	1
DB07615	P08183	0
DB01173	Q15842	0
DB03796	O76054	1
DB00220	P11712	1
DB03557	Q9UDX3	0
DB04272	Q96RQ9	1
DB00123	Q8WY07	1
DB00241	P48169	1
DB00714	P28222	1
DB08492	P16050	1
DB01068	Q8N1C3	1
DB01033	P47989	1
DB01235	O43776	0
DB00245	P33261	1
DB03844	P00918	1
DB00703	P05181	1
DB02701	P00338	1
DB05259	O00341	0
DB07036	P08123	0
DB02526	P19971	0
DB07133	Q9H252	0
DB08815	P36896	0
DB07652	Q9P0J0	0
DB07225	O60664	0
DB02348	P07948	0
DB06849	O14832	0
DB06674	Q15118	0
DB04825	P09211	0
DB00691	Q05655	0
DB01127	P05181	1
DB00313	P25021	0
DB00370	P31645	1
DB05915	Q99798	0
DB00852	P18850	1
DB00666	P51649	0
DB00206	P20815	1
DB05184	P08069	1
DB08122	P11310	0
DB04119	P22314	1
DB00517	Q8N1C3	0
DB06151	O15399	1
DB00091	P49069	1
DB05630	O14756	0
DB00280	P08172	1
DB07230	Q9UDX4	0
DB02320	P02144	0
DB08818	P16070	1
DB04701	P08238	0
DB03096	Q96C24	0
DB08574	P55196	1
DB00149	P48551	0
DB00651	Q13946	1
DB01408	P07550	1
DB08569	P61925	1
DB01098	P33261	1
DB01159	O14764	1
DB00340	P08172	1
DB00396	P33261	1
DB00363	P22310	1
DB05057	P00813	1
DB00995	Q9NZL9	0
DB00336	Q14571	0
DB00352	Q16270	0
DB05282	P04054	0
DB05831	P16422	1
DB01395	P41250	0
DB01011	P05181	1
DB01123	Q16718	0
DB04017	P21397	1
DB02710	P01375	0
DB07141	P00374	1
DB01182	Q13885	0
DB00298	P15502	0
DB00121	P05165	1
DB01398	P23219	1
DB00313	Q92769	1
DB00725	P08173	1
DB07839	P22748	0
DB00769	P04150	1
DB03963	O60603	1
DB01083	P47712	1
DB04716	P29597	1
DB01939	P07477	1
DB08358	P49137	1
DB00231	P10632	1
DB08513	P35568	1
DB00799	P00751	0
DB02628	P68400	0
DB01041	P19838	1
DB03877	P05141	0
DB00277	P27815	1
DB02112	Q01362	0
DB03414	P18283	0
DB06942	P00734	1
DB03925	Q9UNI1	1
DB00142	Q6IA69	1
DB01146	Q01959	1
DB03207	P05166	0
DB03721	P11226	1
DB03435	O94766	1
DB00584	P10114	0
DB08696	P19105	0
DB03727	P41146	0
DB00389	P11511	1
DB07660	P19438	0
DB03070	P28161	0
DB05205	P01920	0
DB06969	P07900	1
DB08346	P08238	1
DB00338	P07864	0
DB05069	P21728	0
DB02837	P11226	1
DB07677	Q9Y6F1	1
DB00446	P08684	1
DB07837	P38484	0
DB05266	Q14432	1
DB07857	Q9NY59	0
DB01820	P18031	1
DB00987	P21589	1
DB01209	P15121	0
DB01180	O43174	0
DB00404	P20815	1
DB00751	P20813	1
DB00349	P48169	1
DB04899	P19367	0
DB00514	P19878	1
DB07046	Q9H252	0
DB00572	P11229	1
DB07626	P08842	0
DB04301	P07477	1
DB06205	P07098	0
DB00628	P78334	1
DB00143	Q96SL4	1
DB00459	P28702	1
DB01079	P05181	1
DB05030	Q16881	0
DB06908	P06126	0
DB00200	Q96EY8	1
DB07621	P11509	1
DB05066	P05231	1
DB01559	P28472	1
DB00115	Q9Y4U1	1
DB00024	P31949	0
DB00363	P08172	1
DB05712	Q96IY4	1
DB01118	O95180	1
DB00120	P07101	1
DB02008	Q16552	0
DB00334	P28221	1
DB01254	P51692	1
DB03389	Q08462	0
DB04847	Q06432	0
DB00160	P30049	0
DB01058	P31930	0
DB08911	P61586	0
DB04117	P34896	0
DB05359	P48039	1
DB02082	O60513	0
DB00628	P49327	0
DB04896	P35790	0
DB01405	P05177	1
DB08011	O14964	0
DB02795	P54317	0
DB03276	P62993	1
DB08536	P24941	1
DB01727	P01008	0
DB08640	Q8TCD5	0
DB00151	P01375	0
DB03010	Q9BQE3	1
DB00962	P24462	1
DB07224	Q7Z2Z2	0
DB06626	P33261	1
DB09079	P11362	1
DB00715	P11229	1
DB00882	P11511	1
DB00141	P54802	1
DB02329	Q13882	0
DB06779	P01008	1
DB00723	P35368	1
DB05115	P15538	0
DB06605	P00742	1
DB01135	Q15822	1
DB01222	P04150	1
DB01020	O14832	0
DB00801	Q9UN88	1
DB00009	P26572	0
DB00675	P10632	1
DB08058	Q13233	0
DB00882	P04798	1
DB00818	O00519	1
DB01100	P24462	1
DB00997	P16435	1
DB00268	P05177	1
DB03740	Q9Y286	1
DB08521	Q16539	1
DB09030	P43403	0
DB06150	Q13555	0
DB02115	P05091	1
DB00387	Q99447	0
DB05078	P24394	1
DB06963	P08559	0
DB01174	O60391	1
DB00368	P13945	1
DB04881	P08183	1
DB01833	Q9UKU7	0
DB00675	Q05655	1
DB00242	P31350	1
DB01623	P05177	1
DB08822	P19367	0
DB00832	Q9NWT6	0
DB01153	Q9Y271	0
DB05299	P06731	0
DB05303	O95881	0
DB07053	Q9UGM6	0
DB01591	P11229	1
DB08683	P51812	0
DB05284	Q9NS85	0
DB01236	P28472	1
DB00783	Q16678	1
DB01100	P05181	1
DB02422	Q96LZ3	0
DB00758	P20815	1
DB01062	P08684	1
DB06882	P12931	1
DB05381	Q02750	0
DB08918	P33261	1
DB00909	Q07699	1
DB01124	Q9UK17	0
DB04794	P19838	0
DB07020	P48551	0
DB00056	P09871	1
DB06858	O94808	0
DB05713	P32297	0
DB08254	P13995	0
DB07477	Q9BZW2	0
DB01472	P34741	0
DB07416	P01834	1
DB07512	P27338	1
DB04954	Q05397	0
DB01012	P41180	1
DB05389	P17302	0
DB07497	Q15761	0
DB03319	P42262	1
DB00909	P27338	1
DB01992	P48507	0
DB00500	P05164	1
DB00733	P22303	1
DB00205	P10632	1
DB04789	O14717	0
DB00703	P40925	0
DB00627	Q8TDS4	1
DB00357	P33261	1
DB00850	P08684	1
DB00424	Q8IUZ5	0
DB03661	O60674	0
DB04058	O43772	0
DB00543	P21728	1
DB02093	P06744	1
DB00872	P08684	1
DB05812	P10632	1
DB00829	Q9UN88	1
DB01520	P07237	0
DB00421	Q02641	1
DB04335	P01189	0
DB00694	P07327	0
DB08756	P17612	1
DB00939	P09917	1
DB05101	P49589	0
DB02673	P22303	1
DB00686	O75891	0
DB05115	P23381	0
DB06413	P05177	1
DB08730	P16066	0
DB00852	P01375	1
DB05495	P14780	1
DB00995	Q13255	0
DB00418	P43681	1
DB02419	P62937	1
DB04827	O15217	0
DB00180	P51149	0
DB07931	Q04828	1
DB00458	P31645	1
DB00992	Q92696	0
DB01827	Q9Y277	0
DB00292	P52732	0
DB06880	P02671	0
DB00726	P13945	1
DB08746	P00390	0
DB08369	P11310	0
DB00785	P08173	1
DB00411	O43923	0
DB08391	P21673	0
DB05314	Q99584	0
DB01409	P11229	1
DB04774	P68133	1
DB00958	P09211	1
DB03449	P05787	0
DB00503	P15692	0
DB00404	P14867	1
DB00123	P42768	0
DB00667	P00387	0
DB02613	P01709	0
DB07073	P48736	1
DB00388	P35348	1
DB02678	P47929	1
DB00129	Q9BXI2	1
DB00142	O75879	1
DB00641	P10632	1
DB00498	Q9UGI9	0
DB02315	P10644	1
DB04673	O15554	0
DB01117	Q02127	1
DB05206	P47869	0
DB07448	Q99460	0
DB08437	P62913	1
DB08273	P29460	0
DB00342	P20815	1
DB08304	P42262	1
DB00222	P51788	0
DB07793	P11217	1
DB05418	P10721	0
DB00572	Q96GD0	0
DB00683	P05181	1
DB08810	O14561	0
DB00201	O60658	1
DB01693	Q16654	0
DB00021	P00966	0
DB01948	P01106	0
DB07966	P12931	1
DB00139	Q96I99	1
DB00678	P04745	0
DB00163	P28476	0
DB04254	P09012	0
DB04474	P31151	1
DB07441	P01857	1
DB00726	Q01959	1
DB01708	O00591	1
DB00039	P22455	1
DB00126	O00469	1
DB03088	P04746	1
DB00270	O95069	0
DB03466	P54278	0
DB07712	Q9NTG7	0
DB02377	P00491	1
DB00982	P49759	0
DB08242	Q16539	1
DB02719	P48443	0
DB02831	P03951	0
DB07471	P10253	0
DB01623	P10635	1
DB00909	P00918	1
DB00677	Q96GD4	0
DB07172	P30838	0
DB00495	P08684	1
DB07027	Q9UBS5	0
DB05812	P05093	1
DB05232	Q13946	0
DB02811	P06276	1
DB01351	P14867	1
DB01931	P11678	0
DB07606	P24941	1
DB06905	P15502	0
DB07143	Q03431	0
DB03169	O60656	0
DB08039	Q14832	0
DB00716	Q9NS75	1
DB01107	P10635	1
DB00396	P41145	1
DB01692	Q14289	0
DB05133	Q9H239	0
DB03010	Q13509	1
DB00454	Q05586	1
DB02285	Q9NY59	0
DB05131	P48066	0
DB02279	P31751	0
DB09303	P56181	0
DB01085	P26639	0
DB00246	P28335	1
DB00012	P21918	0
DB00675	P04798	1
DB01354	Q16445	1
DB00011	P12821	0
DB08402	P37231	1
DB00426	Q06278	1
DB09078	P22455	1
DB07324	Q96GD0	0
DB04798	P35270	0
DB05213	P36888	1
DB02445	P47870	0
DB08870	Q96RD7	0
DB01558	Q9UN88	1
DB00361	Q8TCC7	0
DB07790	P15291	0
DB07230	Q96IY4	0
DB00139	Q9BXA5	1
DB06962	P08246	0
DB00527	Q14524	1
DB06697	P08684	1
DB00602	P46926	0
DB00724	Q9NR97	1
DB02731	Q16873	0
DB08285	P07333	0
DB02596	Q96T66	1
DB00270	P08684	1
DB07205	Q8N8R3	0
DB00411	Q15822	1
DB00408	P08912	1
DB02018	P63316	0
DB00714	P21266	0
DB03381	Q14957	0
DB00297	Q92930	0
DB08661	P20618	0
DB07893	P01583	0
DB02648	P06744	0
DB00201	O00329	1
DB01961	Q92731	0
DB02598	O14965	0
DB00281	P00533	1
DB00334	P21728	1
DB07954	Q13946	1
DB00402	P14867	1
DB07276	Q9UQF2	1
DB02894	P12081	0
DB05510	Q06432	0
DB08836	P19971	0
DB00773	P05181	1
DB07607	P18505	0
DB01068	P48169	1
DB00592	Q14914	0
DB01122	P06276	1
DB07643	Q9H4G4	0
DB02789	Q92947	0
DB00210	P59796	0
DB00235	Q6PKH6	0
DB07501	P08908	0
DB01241	P10632	1
DB00166	P16435	1
DB01275	P13674	1
DB00457	P18089	1
DB01201	P21731	0
DB02345	P15531	1
DB02727	O43424	0
DB08092	P11021	0
DB01026	P10635	1
DB00201	Q9Y233	1
DB06144	P28223	1
DB00913	P23763	0
DB09570	P05177	1
DB03317	Q9Y233	0
DB08184	P19429	0
DB07403	Q15118	1
DB07720	P48051	0
DB06957	Q9NUV7	0
DB00789	O75908	0
DB00228	Q16445	1
DB00674	P22303	1
DB07102	O95864	0
DB03213	P07477	1
DB00732	Q15661	0
DB06944	Q8WY07	0
DB04395	Q12756	1
DB08894	P19235	1
DB02234	P29508	0
DB08133	O15399	0
DB00983	P33261	1
DB01137	P08684	1
DB09080	P11712	1
DB07903	P53582	1
DB05280	Q8N5Z0	0
DB03706	P02787	0
DB08672	Q9Y3D2	0
DB03932	P40925	0
DB03944	P08519	0
DB02016	Q9P0J0	0
DB00142	P48506	1
DB00688	Q9HAW7	1
DB04898	P11712	1
DB02325	O60942	1
DB00390	P05023	1
DB07558	O14818	1
DB07269	P55210	0
DB04757	P04818	0
DB00152	O60779	1
DB03551	P00491	1
DB00464	P14868	0
DB07089	P56817	1
DB00749	P16662	1
DB06285	P61278	0
DB01236	P47869	1
DB01149	P35348	1
DB01435	P35354	1
DB01268	P36888	1
DB07470	P08631	0
DB07946	Q8WWQ8	0
DB00622	P07602	0
DB00624	P20815	1
DB02323	P13866	0
DB02045	P60900	0
DB01268	P35916	1
DB00235	P50747	0
DB01619	P21796	0
DB01341	P08758	0
DB01206	P10635	1
DB00842	P18507	1
DB00686	P24347	0
DB04794	Q9H306	0
DB05142	O00408	1
DB02660	Q07343	1
DB08382	O75899	0
DB00881	P07585	0
DB00040	P43220	1
DB01337	P05106	0
DB07902	O95470	0
DB03982	Q9BZV2	0
DB00166	Q9Y234	1
DB07244	P29474	1
DB01221	P08908	1
DB06942	P35499	0
DB00909	Q15858	1
DB01959	P20839	0
DB02144	Q9HCR9	0
DB00370	P35462	1
DB01717	Q05901	0
DB01221	P28335	1
DB08927	O00180	0
DB00129	P00480	1
DB09016	P10827	0
DB06751	P02795	0
DB06366	P42574	0
DB00661	O00555	1
DB05745	P12318	0
DB04661	P15813	1
DB01559	P31644	1
DB00983	P10635	1
DB01072	Q9H3S4	0
DB00751	P28223	1
DB00143	Q16775	1
DB00334	P08172	1
DB07538	Q6WRI0	0
DB07598	P06493	0
DB02210	O75311	0
DB03910	P55072	0
DB00668	P01375	1
DB00190	P20711	1
DB00207	Q9H239	0
DB07384	O15217	0
DB00968	P01303	0
DB09069	P09110	1
DB00981	Q9NQX3	0
DB01171	O00206	0
DB07017	P23109	0
DB00075	P08637	1
DB06201	P31644	0
DB02343	O00555	0
DB07339	P15336	0
DB01246	P08684	1
DB04156	Q9GZU7	1
DB07750	P24941	1
DB01065	P05164	1
DB03714	P30874	0
DB03981	P09038	1
DB05505	Q9BZX2	0
DB00829	P34903	1
DB00260	P41240	0
DB07289	P18031	1
DB03226	Q8IWL2	0
DB00692	P10636	0
DB02309	P00492	1
DB03096	P17707	0
DB05458	P17787	1
DB04306	P12259	0
DB01059	P08684	1
DB00812	Q16769	0
DB03283	P08183	0
DB07874	Q9Y6Y9	0
DB02481	P63092	0
DB08005	P53779	1
DB01184	Q9NVH6	0
DB07082	Q02763	0
DB04216	P25705	1
DB00872	P35348	0
DB01621	P54284	0
DB01535	P41143	1
DB02497	P41240	0
DB06741	Q13224	1
DB03639	Q9ULX7	0
DB00108	O75015	1
DB00449	Q71U36	0
DB08347	P49356	0
DB00157	Q92506	1
DB07130	P18031	1
DB07636	P47985	1
DB08351	P04118	0
DB00269	Q99707	0
DB08746	O15374	0
DB00157	O43181	1
DB00030	P16870	1
DB00089	O60674	0
DB00697	Q9Y2I1	1
DB04444	Q9Y296	0
DB06712	Q13698	1
DB00301	P45877	0
DB01665	P28476	0
DB00408	P08173	1
DB00174	Q15758	1
DB04796	P19623	0
DB01202	Q16671	0
DB07140	Q13557	0
DB00056	P04083	0
DB07150	P07585	0
DB04738	P36873	1
DB00186	Q16445	1
DB04633	P24941	0
DB07087	Q16853	0
DB00491	O15403	0
DB07626	P35520	0
DB01926	Q96KS0	0
DB08231	Q08209	1
DB01165	P42685	0
DB05131	P00740	1
DB01599	O95477	1
DB09102	P24462	1
DB07148	P01270	0
DB01672	O95573	0
DB03214	Q96QU6	1
DB06480	Q5T4S7	0
DB00139	Q9P2R7	1
DB04311	P45984	0
DB06317	P04275	0
DB04140	P42574	0
DB06292	P16662	1
DB05475	Q9NYK1	1
DB00141	Q9UJ70	1
DB07137	Q12809	0
DB01041	P04798	1
DB08895	P23458	1
DB00213	O75899	0
DB01595	P34903	1
DB05343	O14735	0
DB00290	P98194	0
DB07534	Q15185	0
DB04510	P15259	1
DB08168	P00797	0
DB04311	P12931	0
DB08909	P16233	1
DB01988	Q16539	1
DB01595	Q99928	1
DB07917	P28062	0
DB06695	P04424	0
DB00412	O43272	0
DB00863	P05177	1
DB00189	Q9UN88	1
DB03136	P00734	1
DB00535	P21796	0
DB02741	P08588	0
DB03861	Q9ULC6	0
DB07768	P52895	1
DB01892	P19105	0
DB00583	P48061	0
DB07253	P54760	1
DB00935	P08913	1
DB00900	P00491	1
DB00321	P08173	1
DB00176	P04798	1
DB00939	O43525	1
DB01594	P18505	1
DB00407	P16471	0
DB07257	Q9H1K4	0
DB02846	Q08257	0
DB04442	Q13627	0
DB08885	P49763	1
DB03297	Q9UNP4	0
DB03247	P24347	0
DB05509	P29323	0
DB00704	P22309	1
DB06919	P17174	0
DB00334	P21917	1
DB01012	P10635	1
DB08883	P04839	0
DB01282	O15399	0
DB00915	P20711	1
DB06694	P08913	1
DB07038	P01100	0
DB08143	P00742	1
DB07312	P09467	1
DB01922	P08865	0
DB02548	P15309	0
DB00699	P10635	1
DB07899	P27816	0
DB00491	Q99584	0
DB05492	P08913	1
DB00193	P41143	1
DB00515	P09488	1
DB05250	P05231	1
DB02901	P10620	0
DB01412	P05177	1
DB07311	O14757	1
DB00869	P00918	1
DB02821	P07585	0
DB04941	O75489	0
DB07668	O60669	0
DB04366	Q9H306	0
DB02709	P16083	1
DB00218	P11388	1
DB00268	P14416	1
DB01238	P08684	1
DB01694	Q9NP99	1
DB06920	P00742	1
DB02193	P28223	0
DB01426	P10635	1
DB05210	P27986	1
DB08780	O14757	1
DB07723	P30041	0
DB00675	P05181	1
DB00305	Q96GR2	0
DB05171	Q99661	0
DB05280	Q8TDV5	0
DB02211	O14832	0
DB07274	P35968	1
DB03021	P49257	0
DB03918	Q13443	0
DB05153	P08581	1
DB01026	P10275	1
DB00683	P22310	1
DB02994	Q03405	0
DB01049	P50406	1
DB07521	P16455	0
DB00968	P32754	0
DB00972	P20815	1
DB08860	P51606	0
DB09217	P27361	0
DB03945	Q9NR97	0
DB04894	P25103	1
DB00157	P13995	1
DB08763	P34096	0
DB03455	P48357	0
DB06791	P35346	1
DB03639	Q14534	0
DB00232	P34969	0
DB00237	P02818	0
DB00723	P25100	1
DB07477	P07711	1
DB00532	P05177	1
DB00513	P08519	1
DB04233	P50897	0
DB01238	P18825	1
DB04723	Q9UQD0	0
DB05455	P47901	1
DB03737	P32239	0
DB02709	P08684	1
DB07390	P08254	1
DB06689	P00748	1
DB00517	P11229	1
DB00909	P22748	1
DB04400	P00439	1
DB04392	P28566	0
DB08007	O95470	0
DB02462	P35228	1
DB01156	P05177	1
DB05003	P35222	0
DB01834	P09488	1
DB02379	O60264	1
DB01110	Q12791	1
DB00244	O15111	1
DB08495	P00742	1
DB00416	P34913	0
DB01007	P08684	1
DB03306	P13726	0
DB00013	P05121	1
DB08894	P04746	0
DB06865	P17342	0
DB07672	O94925	0
DB00752	P10635	1
DB07266	P07360	0
DB08289	O00244	0
DB02325	Q7Z4W1	1
DB02742	P21926	0
DB05890	P04062	0
DB08439	P11712	1
DB03962	P52209	1
DB08549	Q13867	0
DB00629	P16234	0
DB00599	P10620	0
DB07535	P56817	1
DB01780	Q9H1K4	0
DB00644	Q9BY41	0
DB01429	P62158	1
DB00862	P05165	0
DB01003	Q13093	0
DB03273	P18848	0
DB01201	Q7Z4J2	0
DB06738	P10696	0
DB00025	Q8NI22	1
DB01173	Q9UGI6	0
DB00780	P05181	1
DB03169	Q9UKU7	0
DB01212	Q16620	0
DB03639	P49366	1
DB02266	O14832	0
DB02681	P61024	1
DB07646	P29034	0
DB01079	Q14833	0
DB05053	P09917	0
DB05412	P01584	1
DB07146	P06239	1
DB08442	O14788	0
DB02559	P14868	0
DB03088	Q9UKQ2	1
DB00945	P11021	1
DB04842	Q06432	1
DB00812	P11712	1
DB04253	P16083	1
DB01915	P16234	0
DB04795	P31040	1
DB07071	O60669	0
DB06905	P30153	1
DB03632	Q9BYZ2	0
DB05505	P56817	0
DB08026	P08684	0
DB00155	P00966	1
DB06674	Q13093	0
DB07987	Q92947	0
DB02744	Q96I15	0
DB06741	O60391	1
DB04967	P27695	1
DB00441	P30085	1
DB00133	O15269	1
DB04281	P31350	0
DB00857	P19021	0
DB07336	Q99497	0
DB00709	Q8TCD5	1
DB00857	P33261	1
DB00054	P31995	1
DB00306	P43681	1
DB07401	P04040	0
DB01851	P01834	1
DB01352	Q16445	1
DB03152	Q9UDR5	0
DB04278	P32297	0
DB05044	O00206	0
DB04540	P41145	0
DB08900	O95838	1
DB01278	P09467	0
DB00385	P08235	0
DB06064	Q02156	1
DB01161	P21980	0
DB04685	Q16775	0
DB04480	Q9NYR8	0
DB00540	P25103	0
DB00857	P48357	0
DB04223	P29474	1
DB00201	P20815	1
DB01081	P35372	1
DB01060	P01892	0
DB05238	P00918	0
DB01218	P11678	0
DB08675	P35218	0
DB00407	Q96GA7	0
DB05191	P29274	1
DB07909	Q99447	0
DB07195	P03372	1
DB05104	O14964	0
DB00199	P02768	1
DB08864	P04839	0
DB00174	O76074	0
DB01198	P34903	1
DB04050	P08887	0
DB01238	P35462	1
DB00887	P55011	1
DB01384	P35503	0
DB03448	P54278	0
DB00368	P18507	0
DB02613	P51512	0
DB00391	P22694	0
DB00909	Q9NY72	1
DB00636	P09210	1
DB00157	P09417	1
DB08355	P20248	1
DB00098	P42081	1
DB02714	Q15842	0
DB00157	Q6ZMR3	1
DB08709	P11309	1
DB00148	P25788	0
DB00967	P05177	1
DB01162	P24394	0
DB05798	O75493	0
DB01234	Q9HB55	1
DB08899	P35219	0
DB00402	Q9UN88	1
DB01141	P15144	0
DB04417	P25788	0
DB03147	Q92947	1
DB06708	P08684	1
DB02696	P30519	0
DB07854	P17612	1
DB01158	Q9BZW2	0
DB00201	P30542	1
DB01057	P41143	0
DB00401	P25788	0
DB00953	P30939	1
DB08147	O14763	0
DB02673	P08254	0
DB01016	P08684	1
DB00472	P08684	1
DB01095	P11712	1
DB08235	O15144	1
DB08768	P41143	0
DB01736	P12235	1
DB00189	P18507	1
DB03039	Q02252	0
DB02762	P78329	0
DB04881	P47872	0
DB03824	Q86US8	0
DB01406	P13500	1
DB01843	Q9UJT1	0
DB00208	Q9ULK0	0
DB01011	Q96LZ3	0
DB06719	P30968	1
DB05039	Q9Y3R4	0
DB05759	P07333	0
DB01589	Q16445	1
DB00788	P35354	1
DB02845	P22303	1
DB00789	Q16678	0
DB07612	P28072	0
DB01240	P28161	0
DB08011	Q15596	0
DB00909	O15460	0
DB00607	Q9BW91	0
DB05116	P04818	1
DB06954	P00918	1
DB00439	P11712	1
DB01236	Q16445	1
DB08157	Q96I59	0
DB05045	P50391	1
DB08522	Q16539	1
DB04489	O75976	1
DB08368	P13688	0
DB02888	P62942	1
DB05404	P23141	0
DB08007	Q9NPA2	0
DB07739	P20839	0
DB04269	P07477	1
DB02046	O43681	0
DB04549	P00918	1
DB01535	Q9BY41	0
DB00157	P17516	1
DB03516	Q06278	1
DB03732	P15144	0
DB01700	P23219	0
DB07024	P24941	1
DB02153	P13569	0
DB04590	P11712	0
DB01238	P08173	1
DB00157	P00352	1
DB00875	P20711	1
DB03958	P37268	0
DB00013	P05154	1
DB06851	Q9UNQ0	0
DB00189	P78334	1
DB06729	P14598	0
DB02140	P50613	0
DB00241	P47869	1
DB00214	Q13621	1
DB04781	Q13093	0
DB01132	P39905	0
DB01301	Q9Y234	0
DB08597	O95865	0
DB05715	P14324	0
DB06958	P06744	0
DB00851	P31350	0
DB05047	P19961	0
DB00217	P13945	1
DB05078	Q14627	1
DB01184	P14416	1
DB00706	P40926	0
DB00977	P08684	1
DB03777	P41743	1
DB00622	P54289	1
DB01173	P08123	0
DB00869	P22748	1
DB02079	P21549	1
DB00403	P32238	1
DB08137	P24941	1
DB00174	Q7L266	1
DB01030	P60900	0
DB01544	P47869	1
DB01558	P05177	1
DB04372	O15169	0
DB00239	P08684	1
DB05404	P17302	0
DB06897	P00441	0
DB01049	P28223	1
DB03250	Q969I3	0
DB01189	P18507	1
